PAC,Gene,Description,Family,Number of Interactions,Rank of Druggabilty,Druggability Percentile,Rank Druggability for Other Therapeutic Areas,Druggability for Other Therapeutic Areas Percentile,Rank Druggability for Cancer,Druggability for Cancer Percentile,Rank Cancer-Associated,Cancer-Associated Percentile,Is this gene a drug target?,Is this gene a target of other therapeutics?,Is this gene a target of cancer therapeutics?,Is this gene associated with cancer?,Is this gene in the CGC?,Maximum Druggability percentile
Q13625,TP53BP2,Apoptosis-stimulating of p53 protein 2, ASPP family.,63,7334,45%,6096,54%,905,93%,1070,92%,0,0,0,0,0,0.93
Q13627,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A, protein kinase superfamily. CMGC Ser/Thr protein kinase family. MNB/DYRK subfamily.,35,5547,58%,9248,31%,1386,90%,1116,92%,0,0,0,0,0,0.90
Q13630,TSTA3,GDP-L-fucose synthase, fucose synthase family.,4,3952,70%,5567,58%,3998,70%,4962,63%,0,0,0,0,0,0.70
Q13634,CDH18,Cadherin-18,,4,8128,39%,2445,82%,10918,18%,12751,4%,0,0,0,0,0,0.82
Q13635,PTCH1,"Protein patched homolog 1, PTC, PTC1", patched family.,8,8784,34%,8235,38%,1041,92%,356,97%,0,0,0,1,1,0.92
Q13636,RAB31,Ras-related protein Rab-31, small GTPase superfamily. Rab family.,3,9080,32%,10776,19%,10674,20%,8847,34%,0,0,0,0,0,0.32
Q13637,RAB32,Ras-related protein Rab-32,Rab family,3,3636,73%,2989,78%,9241,31%,10730,20%,0,0,0,0,0,0.78
Q13639,HTR4,"5-hydroxytryptamine receptor 4, 5-HT-4, 5-HT4", G-protein coupled receptor 1 family.,1,276,98%,50,100%,5847,56%,10352,22%,1,1,0,0,0,1.00
Q13641,TPBG,Trophoblast glycoprotein,,1,9544,28%,8996,33%,12241,8%,12594,6%,0,0,0,0,0,0.33
Q13642,FHL1,"Four and a half LIM domains protein 1, FHL-1",,24,4255,68%,5168,61%,1764,87%,944,93%,0,0,0,0,0,0.87
Q13643,FHL3,"Four and a half LIM domains protein 3, FHL-3",,87,6856,49%,8101,39%,1432,89%,1353,90%,0,0,0,0,0,0.89
Q13651,IL10RA,"Interleukin-10 receptor subunit alpha, IL-10 receptor subunit alpha, IL-10R subunit alpha, IL-10RA", type II cytokine receptor family.,3,7564,43%,1645,88%,9180,31%,9230,31%,0,0,0,0,0,0.88
Q13671,RIN1,Ras and Rab interactor 1, RIN (Ras interaction/interference) family.,17,1580,88%,1260,91%,2005,85%,2362,82%,0,0,0,0,0,0.91
Q13683,ITGA7,Integrin alpha-7, integrin alpha chain family.,4,1933,86%,8885,33%,3180,76%,7029,47%,0,0,0,0,0,0.86
Q13685,AAMP,Angio-associated migratory cell protein,,10,7090,47%,2191,84%,6060,55%,6490,51%,0,0,0,0,0,0.84
Q13698,CACNA1S,Voltage-dependent L-type calcium channel subunit alpha-1S, calcium channel alpha-1 subunit (TC 1.A.1.11) family. CACNA1S subfamily.,6,5227,61%,4872,63%,7188,46%,7075,47%,0,0,0,0,0,0.63
Q13702,RAPSN,"43 kDa receptor-associated protein of the synapse, RAPsyn", RAPsyn family.,9,1599,88%,1850,86%,3620,73%,3257,76%,0,0,0,0,0,0.88
Q13705,ACVR2B,Activin receptor type-2B, protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily.,19,11517,14%,5478,59%,9331,30%,4504,66%,0,0,0,0,0,0.59
Q13724,MOGS,Mannosyl-oligosaccharide glucosidase, glycosyl hydrolase 63 family.,1,11020,17%,12154,9%,12655,5%,12274,8%,0,0,0,0,0,0.17
Q13740,ALCAM,CD166 antigen,,5,1355,90%,2593,81%,2994,78%,6128,54%,0,0,0,0,0,0.90
Q13748,TUBA3C,Tubulin alpha-3C/D chain, tubulin family.,12,317,98%,947,93%,174,99%,860,94%,1,0,1,1,0,0.99
Q13751,LAMB3,Laminin subunit beta-3,,6,3739,72%,3072,77%,9139,32%,8128,39%,0,0,0,0,0,0.77
Q13753,LAMC2,Laminin subunit gamma-2,,7,3436,74%,2518,81%,8896,33%,7661,43%,0,0,0,0,0,0.81
Q13761,RUNX3,Runt-related transcription factor 3,,16,4308,68%,8833,34%,1839,86%,686,95%,0,0,0,0,0,0.86
Q13765,NACA,"Nascent polypeptide-associated complex subunit alpha, NAC-alpha", NAC-alpha family.,16,5851,56%,7215,46%,3041,77%,1453,89%,0,0,0,1,1,0.77
Q13769,THOC5,THO complex subunit 5 homolog, THOC5 family.,14,8683,35%,10104,24%,5586,58%,3796,72%,0,0,0,0,0,0.58
Q13772,NCOA4,"Nuclear receptor coactivator 4, NCoA-4",,11,3078,77%,8392,37%,1077,92%,177,99%,0,0,0,1,1,0.92
Q13790,APOF,Apolipoprotein F,,2,7188,46%,6972,48%,11157,16%,11287,15%,0,0,0,0,0,0.48
Q13794,PMAIP1,"Phorbol-12-myristate-13-acetate-induced protein 1, PMA-induced protein 1", PMAIP1 family.,10,1670,87%,1245,91%,3255,76%,2604,80%,0,0,0,0,0,0.91
Q13795,ARFRP1,ADP-ribosylation factor-related protein 1,Arf family,3,2767,79%,7107,47%,9962,25%,10105,24%,0,0,0,0,0,0.79
Q13796,SHROOM2,Protein Shroom2, shroom family.,1,5406,59%,3344,75%,6531,51%,7148,46%,0,0,0,0,0,0.75
Q13797,ITGA9,Integrin alpha-9, integrin alpha chain family.,5,1615,88%,2848,79%,4656,65%,7359,45%,0,0,0,0,0,0.88
Q13813,SPTAN1,"Spectrin alpha chain, brain", spectrin family.,52,1527,89%,540,96%,1147,91%,1129,92%,0,0,0,0,0,0.96
Q13823,GNL2,Nucleolar GTP-binding protein 2, MMR1/HSR1 GTP-binding protein family. NOG2 subfamily.,4,12779,4%,11961,10%,10787,19%,8659,35%,0,0,0,0,0,0.19
Q13829,TNFAIP1,"BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2, hBACURD2", BACURD family.,21,8327,38%,9045,32%,3211,76%,3319,75%,0,0,0,0,0,0.76
Q13835,PKP1,Plakophilin-1,beta-catenin family,10,4917,63%,7269,46%,5409,59%,4693,65%,0,0,0,0,0,0.63
Q13838,DDX39B,Spliceosome RNA helicase DDX39B, DEAD box helicase family. DECD subfamily.,28,6459,52%,7233,46%,3466,74%,2019,85%,0,0,0,0,0,0.74
Q13867,BLMH,"Bleomycin hydrolase, BH, BLM hydrolase, BMH", peptidase C1 family.,15,1422,89%,1274,90%,2156,84%,4073,69%,0,0,0,0,0,0.90
Q13868,EXOSC2,Exosome complex component RRP4,,17,12940,3%,9510,29%,4823,64%,5676,57%,0,0,0,0,0,0.64
Q13873,BMPR2,"Bone morphogenetic protein receptor type-2, BMP type-2 receptor, BMPR-2", protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily.,50,5956,55%,3426,74%,3725,72%,1836,86%,0,0,0,0,0,0.74
Q13875,MOBP,Myelin-associated oligodendrocyte basic protein,,4,12126,9%,10141,24%,9243,31%,8235,38%,0,0,0,0,0,0.31
Q13882,PTK6,Protein-tyrosine kinase 6, protein kinase superfamily. Tyr protein kinase family. BRK/PTK6/SIK subfamily.,25,79,99%,2283,83%,52,100%,166,99%,1,0,1,1,0,1.00
Q13884,SNTB1,Beta-1-syntrophin, syntrophin family.,11,1010,92%,1029,92%,5945,55%,5726,57%,0,0,0,0,0,0.92
Q13885,TUBB2A,Tubulin beta-2A chain, tubulin family.,29,7857,41%,7661,43%,4280,68%,2891,78%,0,0,0,0,0,0.68
Q13886,KLF9,Krueppel-like factor 9,Sp1 C2H2-type zinc-finger protein family,3,8038,40%,11685,12%,7690,42%,4257,68%,0,0,0,0,0,0.42
Q13887,KLF5,Krueppel-like factor 5, krueppel C2H2-type zinc-finger protein family.,21,2188,84%,1789,87%,731,95%,643,95%,0,0,0,0,0,0.95
Q13888,GTF2H2,General transcription factor IIH subunit 2, GTF2H2 family.,9,5721,57%,8061,40%,4982,63%,1804,86%,0,0,0,0,0,0.63
Q13889,GTF2H3,General transcription factor IIH subunit 3, TFB4 family.,7,6179,54%,10352,22%,4953,63%,2700,80%,0,0,0,0,0,0.63
Q13895,BYSL,Bystin, bystin family.,65,12995,3%,9987,25%,2409,82%,4695,65%,0,0,0,0,0,0.82
Q13901,C1D,"Nuclear nucleic acid-binding protein C1D, hC1D", C1D family.,11,5752,57%,10452,22%,3126,77%,2490,81%,0,0,0,0,0,0.77
Q13905,RAPGEF1,Rap guanine nucleotide exchange factor 1,,17,612,95%,2019,85%,270,98%,1111,92%,0,0,0,0,0,0.98
Q13907,IDI1,Isopentenyl-diphosphate Delta-isomerase 1,IPP isomerase type 1 family,2,9535,29%,10482,21%,9881,26%,8464,37%,0,0,0,0,0,0.29
Q13936,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C, calcium channel alpha-1 subunit (TC 1.A.1.11) family. CACNA1C subfamily.,14,1008,92%,183,99%,2569,81%,1604,88%,1,1,0,0,0,0.99
Q13939,CCIN,Calicin,,2,4151,69%,3372,75%,5610,58%,8157,39%,0,0,0,0,0,0.75
Q13948,CUX1,Protein CASP, CASP family.,21,5271,61%,8260,38%,2342,82%,372,97%,0,0,0,1,1,0.82
Q13950,RUNX2,Runt-related transcription factor 2,,40,2410,82%,6214,53%,551,96%,260,98%,0,0,0,0,0,0.96
Q13951,CBFB,"Core-binding factor subunit beta, CBF-beta", CBF-beta family.,9,4197,69%,8731,35%,4081,69%,709,95%,0,0,0,1,1,0.69
Q13952,NFYC,Nuclear transcription factor Y subunit gamma, NFYC/HAP5 subunit family.,27,6076,54%,7893,41%,1851,86%,1473,89%,0,0,0,0,0,0.86
Q13956,PDE6H,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",rod/cone cGMP-PDE gamma subunit family,4,1704,87%,2175,84%,6607,50%,7320,45%,0,0,0,0,0,0.87
Q13972,RASGRF1,"Ras-specific guanine nucleotide-releasing factor 1, Ras-GRF1",,17,1006,92%,1380,90%,1248,91%,2277,83%,0,0,0,0,0,0.92
Q13976,PRKG1,"cGMP-dependent protein kinase 1, cGK 1, cGK1", protein kinase superfamily. AGC Ser/Thr protein kinase family. cGMP subfamily.,47,1141,91%,767,94%,1426,89%,1523,89%,0,0,0,0,0,0.94
Q14002,CEACAM7,Carcinoembryonic antigen-related cell adhesion molecule 7, immunoglobulin superfamily. CEA family.,2,3507,74%,3514,74%,7584,43%,10570,21%,0,0,0,0,0,0.74
Q14004,CDK13,Cyclin-dependent kinase 13, protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily.,7,2245,83%,6644,50%,4745,64%,4494,66%,0,0,0,0,0,0.83
Q14005,IL16,Pro-interleukin-16,,29,1604,88%,2962,78%,1777,87%,2151,84%,0,0,0,0,0,0.88
Q14008,CKAP5,Cytoskeleton-associated protein 5, TOG/XMAP215 family.,6,4238,68%,5358,60%,6012,55%,5461,59%,0,0,0,0,0,0.68
Q14011,CIRBP,Cold-inducible RNA-binding protein,,17,9628,28%,9870,26%,4571,66%,3786,72%,0,0,0,0,0,0.66
Q14012,CAMK1,Calcium/calmodulin-dependent protein kinase type 1, protein kinase superfamily. CAMK Ser/Thr protein kinase family. CaMK subfamily.,19,1326,90%,2024,85%,2087,84%,2908,78%,0,0,0,0,0,0.90
Q14019,COTL1,Coactosin-like protein, actin-binding proteins ADF family. Coactosin subfamily.,7,788,94%,198,99%,7611,43%,6380,52%,0,0,0,0,0,0.99
Q14028,CNGB1,Cyclic nucleotide-gated cation channel beta-1,cyclic nucleotide-gated cation channel (TC 1.A.1.5) family,3,7001,48%,10197,24%,12754,4%,11298,15%,0,0,0,0,0,0.48
Q14031,COL4A6,Collagen alpha-6(IV) chain, type IV collagen family.,11,3584,73%,2702,80%,6983,48%,5968,55%,0,0,0,0,0,0.80
Q14032,BAAT,Bile acid-CoA:amino acid N-acyltransferase,C/M/P thioester hydrolase family,2,3297,75%,7010,47%,8704,35%,10590,21%,0,0,0,0,0,0.75
Q14050,COL9A3,Collagen alpha-3(IX) chain, fibril-associated collagens with interrupted helices (FACIT) family.,3,4264,68%,2446,82%,8235,38%,7026,47%,0,0,0,0,0,0.82
Q14055,COL9A2,Collagen alpha-2(IX) chain, fibril-associated collagens with interrupted helices (FACIT) family.,5,5238,61%,3020,77%,10315,23%,8465,37%,0,0,0,0,0,0.77
Q14061,COX17,Cytochrome c oxidase copper chaperone, COX17 family.,13,7347,45%,4868,64%,4803,64%,4595,66%,0,0,0,0,0,0.64
Q14088,RAB33A,Ras-related protein Rab-33A, small GTPase superfamily. Rab family.,8,11974,10%,10746,19%,9405,30%,7352,45%,0,0,0,0,0,0.30
Q14094,CCNI,Cyclin-I, cyclin family.,4,2866,79%,2879,78%,2417,82%,6865,49%,0,0,0,0,0,0.82
Q14103,HNRNPD,"Heterogeneous nuclear ribonucleoprotein D0, hnRNP D0",,95,4991,63%,8414,37%,1294,90%,1197,91%,0,0,0,0,0,0.90
Q14106,TOB2,Protein Tob2, BTG family.,5,9456,29%,8990,33%,6890,48%,8047,40%,0,0,0,0,0,0.48
Q14108,SCARB2,Lysosome membrane protein 2, CD36 family.,4,2055,85%,2903,78%,2100,84%,5341,60%,0,0,0,0,0,0.85
Q14112,NID2,"Nidogen-2, NID-2",,9,2834,79%,811,94%,6972,48%,5412,59%,0,0,0,0,0,0.94
Q14114,LRP8,"Low-density lipoprotein receptor-related protein 8, LRP-8", LDLR family.,20,1117,92%,1046,92%,2355,82%,2831,79%,0,0,0,0,0,0.92
Q14116,IL18,"Interleukin-18, IL-18", IL-1 family.,10,6425,52%,2288,83%,4782,64%,4694,65%,0,0,0,0,0,0.83
Q14117,DPYS,Dihydropyrimidinase,DHOase family,1,7422,44%,6890,48%,9120,32%,11761,12%,0,0,0,0,0,0.48
Q14118,DAG1,Dystroglycan,,28,598,96%,1505,89%,343,97%,942,93%,0,0,0,0,0,0.97
Q14119,VEZF1,Vascular endothelial zinc finger 1,krueppel C2H2-type zinc-finger protein family,1,12519,6%,12667,5%,12530,6%,12013,10%,0,0,0,0,0,0.06
Q14126,DSG2,Desmoglein-2,,5,10534,21%,9805,27%,10443,22%,9756,27%,0,0,0,0,0,0.27
Q14129,DGCR6,Protein DGCR6,gonadal family,1,13115,2%,13126,2%,13120,2%,13198,1%,0,0,0,0,0,0.02
Q14134,TRIM29,Tripartite motif-containing protein 29,,42,7195,46%,9023,32%,2001,85%,1686,87%,0,0,0,0,0,0.85
Q14135,VGLL4,"Transcription cofactor vestigial-like protein 4, Vgl-4", vestigial family.,8,6782,49%,9036,32%,7954,40%,4182,69%,0,0,0,0,0,0.49
Q14137,BOP1,Ribosome biogenesis protein BOP1, WD repeat BOP1/ERB1 family.,2,7008,47%,8802,34%,12234,8%,9842,26%,0,0,0,0,0,0.47
Q14139,UBE4A,Ubiquitin conjugation factor E4 A, ubiquitin conjugation factor E4 family.,11,8257,38%,6664,50%,1522,89%,4840,64%,0,0,0,0,0,0.89
Q14140,SERTAD2,SERTA domain-containing protein 2,,7,6909,48%,11099,17%,4929,63%,2055,85%,0,0,0,0,0,0.63
Q14141,SEPT6,Septin-6, septin family.,15,11817,11%,8574,36%,8581,36%,872,93%,0,0,0,1,1,0.36
Q14145,KEAP1,Kelch-like ECH-associated protein 1,,49,1797,87%,2348,82%,1909,86%,1684,87%,0,0,0,0,0,0.87
Q14146,URB2,Unhealthy ribosome biogenesis protein 2 homolog,,2,8027,40%,5355,60%,7750,42%,6934,48%,0,0,0,0,0,0.60
Q14147,DHX34,Probable ATP-dependent RNA helicase DHX34, DEAD box helicase family. DEAH subfamily.,3,8505,36%,12366,7%,10017,25%,8324,38%,0,0,0,0,0,0.36
Q14149,MORC3,MORC family CW-type zinc finger protein 3,,2,9584,28%,11882,11%,8541,36%,5899,56%,0,0,0,0,0,0.36
Q14151,SAFB2,"Scaffold attachment factor B2, SAF-B2",,10,6568,51%,6620,50%,3882,71%,4074,69%,0,0,0,0,0,0.71
Q14152,EIF3A,"Eukaryotic translation initiation factor 3 subunit A, eIF3a", eIF-3 subunit A family.,19,3372,75%,2453,82%,6423,52%,4704,65%,0,0,0,0,0,0.82
Q14154,KIAA0141,Death ligand signal enhancer,,1,12509,6%,12264,8%,12652,5%,12415,7%,0,0,0,0,0,0.08
Q14155,ARHGEF7,Rho guanine nucleotide exchange factor 7,,33,1423,89%,1988,85%,778,94%,1260,91%,0,0,0,0,0,0.94
Q14157,UBAP2L,Ubiquitin-associated protein 2-like,,8,6946,48%,8790,34%,6569,51%,4844,64%,0,0,0,0,0,0.51
Q14160,SCRIB,"Protein scribble homolog, Scribble, hScrib", LAP (LRR and PDZ) protein family.,11,1503,89%,632,95%,3605,73%,4060,70%,0,0,0,0,0,0.95
Q14161,GIT2,"ARF GTPase-activating protein GIT2, ARF GAP GIT2",,46,3451,74%,6308,53%,1598,88%,1495,89%,0,0,0,0,0,0.88
Q14162,SCARF1,Scavenger receptor class F member 1,,2,3399,75%,3004,77%,10008,25%,10716,20%,0,0,0,0,0,0.77
Q14164,IKBKE,"Inhibitor of nuclear factor kappa-B kinase subunit epsilon, I-kappa-B kinase epsilon, IKK-E, IKK-epsilon, IkBKE", protein kinase superfamily. Ser/Thr protein kinase family. I-kappa-B kinase subfamily.,70,3806,71%,6774,49%,801,94%,1122,92%,0,0,0,0,0,0.94
Q14166,TTLL12,Tubulin--tyrosine ligase-like protein 12,,1,10767,19%,10926,18%,11543,14%,9114,32%,0,0,0,0,0,0.19
Q14168,MPP2,MAGUK p55 subfamily member 2, MAGUK family.,5,1312,90%,553,96%,7138,47%,7227,46%,0,0,0,0,0,0.96
Q14181,POLA2,DNA polymerase alpha subunit B, DNA polymerase alpha subunit B family.,32,8381,37%,4207,68%,5477,59%,3008,77%,0,0,0,0,0,0.68
Q14183,DOC2A,Double C2-like domain-containing protein alpha,,3,4524,66%,2268,83%,12830,4%,12086,9%,0,0,0,0,0,0.83
Q14184,DOC2B,Double C2-like domain-containing protein beta,,3,4525,66%,2269,83%,12831,4%,12087,9%,0,0,0,0,0,0.83
Q14185,DOCK1,Dedicator of cytokinesis protein 1, DOCK family.,9,2952,78%,1273,90%,2176,84%,4091,69%,0,0,0,0,0,0.90
Q14186,TFDP1,Transcription factor Dp-1, E2F/DP family.,18,5908,56%,8955,33%,1694,87%,891,93%,0,0,0,0,0,0.87
Q14188,TFDP2,Transcription factor Dp-2, E2F/DP family.,6,7821,41%,10751,19%,6881,48%,4052,70%,0,0,0,0,0,0.48
Q14190,SIM2,Single-minded homolog 2,,27,1627,88%,4988,63%,2175,84%,2742,79%,0,0,0,0,0,0.88
Q14191,WRN,Werner syndrome ATP-dependent helicase, helicase family. RecQ subfamily.,32,4423,67%,7334,45%,567,96%,234,98%,0,0,0,1,1,0.96
Q14192,FHL2,"Four and a half LIM domains protein 2, FHL-2",,92,5847,56%,8317,38%,660,95%,603,95%,0,0,0,0,0,0.95
Q14194,CRMP1,"Dihydropyrimidinase-related protein 1, DRP-1", DHOase family. Hydantoinase/dihydropyrimidinase subfamily.,81,5168,61%,3547,73%,1543,88%,1270,90%,0,0,0,0,0,0.88
Q14195,DPYSL3,"Dihydropyrimidinase-related protein 3, DRP-3", DHOase family. Hydantoinase/dihydropyrimidinase subfamily.,13,4624,65%,6117,54%,3359,75%,2912,78%,0,0,0,0,0,0.75
Q14197,ICT1,"Peptidyl-tRNA hydrolase ICT1, mitochondrial", prokaryotic/mitochondrial release factor family. ICT1 subfamily.,3,12833,4%,12993,3%,11702,12%,10541,21%,0,0,0,0,0,0.12
Q14201,BTG3,Protein BTG3, BTG family.,5,6222,53%,5757,57%,8210,38%,5474,59%,0,0,0,0,0,0.57
Q14202,ZMYM3,Zinc finger MYM-type protein 3,,4,9747,27%,10897,18%,5632,58%,4024,70%,0,0,0,0,0,0.58
Q14203,DCTN1,Dynactin subunit 1, dynactin 15 kDa subunit family.,48,2139,84%,4075,69%,1181,91%,728,95%,0,0,0,1,1,0.91
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1, dynein heavy chain family.,16,535,96%,709,95%,1076,92%,1375,90%,0,0,0,0,0,0.96
Q14206,RCAN2,Calcipressin-2, RCAN family.,2,12490,6%,11562,13%,11719,12%,11479,14%,0,0,0,0,0,0.13
Q14207,NPAT,Protein NPAT,NPAT family,7,4841,64%,8047,40%,4675,65%,2046,85%,0,0,0,0,0,0.65
Q14209,E2F2,"Transcription factor E2F2, E2F-2", E2F/DP family.,17,5401,60%,8233,38%,3756,72%,868,93%,0,0,0,0,0,0.72
Q14210,LY6D,"Lymphocyte antigen 6D, Ly-6D",,3,3616,73%,3622,73%,9456,29%,10553,21%,0,0,0,0,0,0.73
Q14213,EBI3,"Interleukin-27 subunit beta, IL-27 subunit beta, IL-27B", type I cytokine receptor family. Type 3 subfamily.,6,3927,71%,9592,28%,7622,43%,1199,91%,0,0,0,0,0,0.71
Q14232,EIF2B1,Translation initiation factor eIF-2B subunit alpha, eIF-2B alpha/beta/delta subunits family.,15,362,97%,279,98%,2456,82%,3215,76%,0,0,0,0,0,0.98
Q14240,EIF4A2,"Eukaryotic initiation factor 4A-II, eIF-4A-II, eIF4A-II", DEAD box helicase family. eIF4A subfamily.,41,4742,64%,7616,43%,3974,70%,1753,87%,0,0,0,1,1,0.70
Q14241,TCEB3,Transcription elongation factor B polypeptide 3,,21,11840,11%,9650,28%,5883,56%,4452,67%,0,0,0,0,0,0.56
Q14242,SELPLG,"P-selectin glycoprotein ligand 1, PSGL-1",,15,910,93%,2186,84%,2808,79%,4663,65%,0,0,0,0,0,0.93
Q14244,MAP7,Ensconsin, MAP7 family.,4,4052,70%,4638,65%,5089,62%,4870,64%,0,0,0,0,0,0.70
Q14247,CTTN,Src substrate cortactin, ,50,406,97%,2697,80%,262,98%,373,97%,0,0,0,0,0,0.98
Q14249,ENDOG,"Endonuclease G, mitochondrial",DNA/RNA non-specific endonuclease family,2,4162,69%,2572,81%,8490,36%,9495,29%,0,0,0,0,0,0.81
Q14254,FLOT2,Flotillin-2, band 7/mec-2 family. Flotillin subfamily.,10,1482,89%,1418,89%,1723,87%,2985,78%,0,0,0,0,0,0.89
Q14257,RCN2,Reticulocalbin-2, CREC family.,9,2175,84%,5145,61%,5019,62%,3836,71%,0,0,0,0,0,0.84
Q14258,TRIM25,E3 ubiquitin/ISG15 ligase TRIM25,,29,5706,57%,5648,58%,1148,91%,1629,88%,0,0,0,0,0,0.91
Q14289,PTK2B,Protein-tyrosine kinase 2-beta, protein kinase superfamily. Tyr protein kinase family. FAK subfamily.,74,186,99%,225,98%,157,99%,275,98%,0,0,0,0,0,0.99
Q14296,FASTK,"Fas-activated serine/threonine kinase, FAST kinase", FAST protein kinase family.,6,7991,40%,6918,48%,11405,15%,10031,25%,0,0,0,0,0,0.48
Q14315,FLNC,"Filamin-C, FLN-C, FLNc", filamin family.,30,1521,89%,2752,79%,2584,81%,2932,78%,0,0,0,0,0,0.89
Q14318,FKBP8,"Peptidyl-prolyl cis-trans isomerase FKBP8, PPIase FKBP8",,18,1325,90%,977,93%,1781,87%,2067,85%,0,0,0,0,0,0.93
Q14320,FAM50A,Protein FAM50A, FAM5 family.,1,13116,2%,13127,2%,13121,2%,13283,0%,0,0,0,0,0,0.02
Q14324,MYBPC2,"Myosin-binding protein C, fast-type",MyBP family,1,1529,89%,1401,90%,2088,84%,10422,22%,0,0,0,0,0,0.90
Q14331,FRG1,Protein FRG1,FRG1 family,4,11735,12%,11590,13%,10030,25%,8530,36%,0,0,0,0,0,0.25
Q14332,FZD2,Frizzled-2,G-protein coupled receptor Fz/Smo family,2,11023,17%,5121,62%,11290,15%,10725,20%,0,0,0,0,0,0.62
Q14344,GNA13,"Guanine nucleotide-binding protein subunit alpha-13, G alpha-13, G-protein subunit alpha-13", G-alpha family. G(12) subfamily.,35,168,99%,122,99%,2411,82%,1900,86%,0,0,0,0,0,0.99
Q14353,GAMT,Guanidinoacetate N-methyltransferase, RMT2 methyltransferase family.,5,3995,70%,5607,58%,4910,63%,5201,61%,0,0,0,0,0,0.70
Q14376,GALE,UDP-glucose 4-epimerase,NAD(P)-dependent epimerase/dehydratase family,1,13058,2%,3164,76%,13054,2%,13028,2%,0,0,0,0,0,0.76
Q14393,GAS6,"Growth arrest-specific protein 6, GAS-6",,3,2472,81%,3161,76%,2395,82%,7889,41%,0,0,0,0,0,0.82
Q14397,GCKR,"Glucokinase regulatory protein, Glucokinase regulator", GCKR family.,3,7462,44%,11034,17%,7158,46%,4726,65%,0,0,0,0,0,0.46
Q14416,GRM2,Metabotropic glutamate receptor 2,G-protein coupled receptor 3 family,6,171,99%,107,99%,6080,54%,6322,53%,0,0,0,0,0,0.99
Q14432,PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A", cyclic nucleotide phosphodiesterase family. PDE3 subfamily.,3,502,96%,98,99%,4906,63%,6581,51%,1,1,0,0,0,0.99
Q14435,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,glycosyltransferase 2 family,1,10907,18%,11215,16%,12405,7%,11629,13%,0,0,0,0,0,0.18
Q14442,PIGH,Phosphatidylinositol N-acetylglucosaminyltransferase subunit H,PIGH family,4,9538,29%,1272,90%,11665,13%,11564,13%,0,0,0,0,0,0.90
Q14444,CAPRIN1,Caprin-1, caprin family.,6,7293,45%,10806,19%,4918,63%,4961,63%,0,0,0,0,0,0.63
Q14449,GRB14,Growth factor receptor-bound protein 14, GRB7/1/14 family.,17,589,96%,1221,91%,406,97%,1055,92%,0,0,0,0,0,0.97
Q14451,GRB7,Growth factor receptor-bound protein 7, GRB7/1/14 family.,43,727,95%,5700,57%,447,97%,864,94%,0,0,0,0,0,0.97
Q14457,BECN1,Beclin-1, beclin family.,38,2993,78%,2113,84%,2085,84%,2232,83%,0,0,0,0,0,0.84
Q14469,HES1,Transcription factor HES-1,,35,4789,64%,7990,40%,2293,83%,586,96%,0,0,0,0,0,0.83
Q14493,SLBP,Histone RNA hairpin-binding protein, SLBP family.,8,8117,39%,7539,44%,1826,86%,2687,80%,0,0,0,0,0,0.86
Q14494,NFE2L1,"Nuclear factor erythroid 2-related factor 1, NF-E2-related factor 1, NFE2-related factor 1", bZIP family. CNC subfamily.,15,3543,73%,7227,46%,2892,78%,1297,90%,0,0,0,0,0,0.78
Q14498,RBM39,RNA-binding protein 39, splicing factor SR family.,49,11493,14%,10327,23%,1934,86%,1821,86%,0,0,0,0,0,0.86
Q14500,KCNJ12,ATP-sensitive inward rectifier potassium channel 12,inward rectifier-type potassium channel (TC 1.A.2.1) family,16,1148,91%,456,97%,4598,66%,4735,65%,0,0,0,0,0,0.97
Q14508,WFDC2,WAP four-disulfide core domain protein 2,,1,11005,18%,12777,4%,12765,4%,12434,7%,0,0,0,0,0,0.18
Q14511,NEDD9,"Enhancer of filamentation 1, hEF1", CAS family.,39,694,95%,4863,64%,293,98%,498,96%,0,0,0,0,0,0.98
Q14512,FGFBP1,"Fibroblast growth factor-binding protein 1, FGF-BP, FGF-BP1, FGF-binding protein 1, FGFBP-1", fibroblast growth factor-binding protein family.,5,3022,77%,5907,56%,3774,72%,6618,50%,0,0,0,0,0,0.77
Q14515,SPARCL1,SPARC-like protein 1, SPARC family.,5,3121,77%,4567,66%,2981,78%,4522,66%,0,0,0,0,0,0.78
Q14517,FAT1,Protocadherin Fat 1,,5,1534,89%,324,98%,4008,70%,5563,58%,0,0,0,0,0,0.98
Q14520,HABP2,Hyaluronan-binding protein 2, peptidase S1 family.,8,2871,78%,1159,91%,8413,37%,7265,46%,0,0,0,0,0,0.91
